N k T T_init
3000 1 37.8795 0.0280339
3000 2 19.0666 0.0143099
3000 3 12.9579 0.00978494
3000 4 11.1177 0.00744336
3000 5 8.85121 0.00592238
3000 6 7.04413 0.00512298
3000 7 5.60251 0.0043832
3000 8 4.9486 0.00406612
3000 9 4.98499 0.00362552
3000 10 4.07655 0.00322461
3000 11 4.12945 0.00324069
3000 12 3.61996 0.00278654
3000 13 3.16971 0.00255519
3000 14 2.92857 0.00236457
3000 15 2.78037 0.00223771
3000 16 2.63774 0.00232516
3000 17 2.48492 0.00225908
3000 18 3.1333 0.00259809
3000 19 2.30257 0.00200973
3000 20 2.15416 0.00202331
3000 21 2.19952 0.00184365
3000 22 2.04494 0.0018064
3000 23 1.98283 0.00174213
3000 24 2.10895 0.00185322
3000 25 1.81003 0.0015787
3000 26 2.17147 0.00166537
3000 27 1.95569 0.00163474
3000 28 2.49011 0.0020633
3000 29 1.74653 0.00150795
3000 30 1.6686 0.00169778
3000 31 1.61157 0.00140256
3000 32 1.77037 0.0014997
3000 33 1.66545 0.00139404
3000 34 1.61171 0.00146731
3000 35 1.50113 0.001273
3000 36 1.8122 0.00143029
3000 37 1.8982 0.00156508
3000 38 2.11034 0.001679
3000 39 2.43387 0.00193815
3000 40 2.52037 0.00200762
