N k T 
3000 1 38.9412
3000 2 22.5072
3000 3 13.288
3000 4 9.40452
3000 5 7.6295
3000 6 6.38855
3000 7 5.48119
3000 8 4.844
3000 9 4.2789
3000 10 3.89503
3000 11 3.53302
3000 12 3.29252
3000 13 3.12432
3000 14 2.95075
3000 15 2.70199
3000 16 2.5763
3000 17 2.50065
3000 18 2.44173
3000 19 2.26578
3000 20 2.17745
3000 21 2.1633
3000 22 2.11801
3000 23 2.08568
3000 24 1.92054
3000 25 1.89167
3000 26 1.96654
3000 27 1.89357
3000 28 1.87708
3000 29 2.30091
3000 30 1.79955
3000 31 1.75426
3000 32 1.72992
3000 33 1.8663
3000 34 2.08666
3000 35 1.76591
3000 36 1.83148
3000 37 1.91695
3000 38 2.27414
3000 39 2.21077
3000 40 1.62142
