x y result
27 0 1
16 2 256
2 2 4
23 1 23
22 1 22
27 4 531441
2 3 8
29 2 841
29 2 841
1 2 1
21 4 194481
8 4 4096
23 1 23
26 3 17576
16 1 16
14 2 196
16 4 65536
24 0 1
14 2 196
3 0 1
6 3 216
3 1 3
12 0 1
19 2 361
24 4 331776
14 3 2744
17 2 289
22 1 22
26 1 26
4 4 256
21 2 441
21 0 1
27 1 27
6 0 1
29 4 707281
2 4 16
0 3 0
10 4 10000
8 0 1
1 0 1
14 3 2744
13 0 1
24 4 331776
3 1 3
9 1 9
17 3 4913
24 1 24
29 2 841
8 3 512
18 4 104976
13 3 2197
26 0 1
18 3 5832
17 1 17
0 3 0
22 0 1
5 4 625
9 2 81
7 2 49
8 1 8
29 3 24389
10 2 100
15 1 15
28 0 1
4 1 4
8 1 8
14 2 196
0 1 0
9 0 1
3 1 3
13 4 28561
19 1 19
9 3 729
20 0 1
14 0 1
6 2 36
15 1 15
17 2 289
9 4 6561
12 2 144
13 2 169
29 4 707281
19 1 19
5 3 125
24 3 13824
22 4 234256
0 4 0
2 0 1
2 4 16
8 3 512
24 0 1
9 1 9
14 4 38416
3 1 3
10 2 100
13 0 1
14 3 2744
6 4 1296
22 1 22
12 3 1728
22 3 10648
6 3 216
3 3 27
0 4 0
8 4 4096
18 2 324
13 3 2197
23 2 529
2 1 2
27 4 531441
14 1 14
8 2 64
16 2 256
19 3 6859
18 3 5832
17 3 4913
5 4 625
15 2 225
19 4 130321
23 0 1
28 1 28
12 0 1
9 0 1
21 4 194481
11 2 121
3 1 3
0 0 1
17 4 83521
4 2 16
15 3 3375
10 1 10
16 2 256
6 0 1
10 1 10
7 2 49
24 0 1
12 4 20736
9 4 6561
20 3 8000
28 1 28
26 2 676
19 2 361
17 3 4913
13 3 2197
9 3 729
27 4 531441
0 4 0
5 3 125
7 1 7
10 4 10000
29 3 24389
13 2 169
12 0 1
17 0 1
4 1 4
21 1 21
24 0 1
1 1 1
21 4 194481
8 0 1
0 2 0
27 0 1
6 3 216
27 4 531441
17 0 1
18 0 1
14 1 14
1 0 1
19 3 6859
15 2 225
17 0 1
16 3 4096
23 4 279841
29 2 841
8 4 4096
24 2 576
7 1 7
13 3 2197
20 3 8000
23 0 1
0 4 0
3 0 1
24 1 24
18 3 5832
15 4 50625
7 1 7
6 1 6
26 0 1
21 2 441
19 1 19
22 2 484
3 2 9
23 2 529
13 4 28561
27 4 531441
12 4 20736
8 1 8
19 2 361
11 3 1331
22 2 484
21 2 441
1 1 1
11 3 1331
17 4 83521
7 0 1
24 3 13824
18 0 1
9 4 6561
16 4 65536
0 3 0
11 4 14641
6 2 36
7 1 7
1 0 1
20 4 160000
3 2 9
1 3 1
2 1 2
16 0 1
22 1 22
24 1 24
7 3 343
12 2 144
4 2 16
12 2 144
13 0 1
25 1 25
0 3 0
16 0 1
18 4 104976
26 0 1
17 3 4913
0 0 1
5 0 1
18 2 324
27 2 729
29 1 29
20 3 8000
18 0 1
0 1 0
1 2 1
27 1 27
11 0 1
14 0 1
16 3 4096
8 3 512
25 2 625
20 0 1
22 2 484
23 4 279841
21 4 194481
14 1 14
1 1 1
2 2 4
24 3 13824
21 4 194481
1 2 1
29 3 24389
27 1 27
0 2 0
29 2 841
1 2 1
18 2 324
22 4 234256
9 1 9
29 1 29
4 0 1
5 4 625
23 4 279841
12 1 12
29 4 707281
14 0 1
17 3 4913
9 0 1
28 1 28
13 1 13
17 0 1
11 0 1
20 4 160000
22 4 234256
29 4 707281
1 1 1
3 3 27
1 0 1
17 2 289
12 3 1728
14 2 196
23 2 529
13 2 169
23 2 529
21 3 9261
0 3 0
25 0 1
28 0 1
19 0 1
10 0 1
19 0 1
8 2 64
0 0 1
23 1 23
21 2 441
0 3 0
4 3 64
29 2 841
23 0 1
7 4 2401
29 1 29
12 0 1
29 0 1
21 4 194481
2 2 4
9 2 81
14 4 38416
28 3 21952
5 4 625
14 4 38416
7 3 343
17 2 289
19 0 1
14 1 14
13 1 13
2 0 1
21 3 9261
0 0 1
9 1 9
13 1 13
26 1 26
7 4 2401
0 1 0
23 2 529
27 2 729
29 0 1
19 0 1
11 0 1
11 1 11
10 0 1
1 4 1
18 2 324
14 3 2744
9 0 1
25 1 25
17 3 4913
29 2 841
18 2 324
26 3 17576
5 0 1
16 4 65536
16 2 256
6 4 1296
3 1 3
16 4 65536
16 0 1
23 2 529
10 2 100
19 0 1
15 3 3375
27 0 1
14 1 14
2 4 16
29 3 24389
23 1 23
1 4 1
19 4 130321
2 0 1
17 2 289
11 4 14641
8 2 64
23 1 23
27 4 531441
8 4 4096
28 1 28
3 3 27
25 4 390625
28 0 1
13 1 13
7 2 49
12 4 20736
3 2 9
25 1 25
29 4 707281
24 3 13824
18 2 324
25 0 1
5 2 25
28 4 614656
19 4 130321
5 0 1
20 1 20
19 4 130321
16 0 1
28 1 28
26 0 1
9 3 729
27 1 27
4 0 1
18 0 1
14 1 14
22 3 10648
12 4 20736
4 4 256
26 4 456976
1 1 1
27 2 729
11 0 1
10 1 10
18 0 1
2 0 1
6 1 6
17 4 83521
0 3 0
10 4 10000
24 2 576
23 3 12167
13 1 13
1 3 1
7 0 1
19 1 19
1 0 1
7 2 49
29 1 29
1 1 1
14 3 2744
27 0 1
15 3 3375
12 4 20736
20 2 400
29 0 1
8 3 512
6 0 1
10 2 100
4 2 16
21 1 21
17 3 4913
20 2 400
13 1 13
26 2 676
22 1 22
23 3 12167
25 3 15625
6 4 1296
7 4 2401
21 3 9261
4 2 16
19 0 1
26 4 456976
22 3 10648
21 3 9261
22 4 234256
10 0 1
23 0 1
2 2 4
17 4 83521
24 2 576
10 0 1
13 2 169
21 0 1
0 2 0
13 3 2197
20 3 8000
18 1 18
18 0 1
15 4 50625
16 2 256
15 0 1
22 3 10648
7 4 2401
18 3 5832
20 0 1
12 4 20736
23 0 1
25 3 15625
20 4 160000
23 1 23
10 1 10
10 4 10000
22 0 1
5 3 125
18 4 104976
24 2 576
7 0 1
28 1 28
20 4 160000
16 4 65536
22 3 10648
18 1 18
10 4 10000
24 2 576
29 1 29
14 3 2744
14 0 1
12 2 144
23 1 23
19 0 1
12 0 1
19 1 19
17 1 17
11 4 14641
7 1 7
11 4 14641
17 1 17
26 0 1
17 1 17
27 2 729
25 3 15625
19 2 361
14 0 1
24 0 1
8 0 1
22 0 1
6 4 1296
23 0 1
0 0 1
28 1 28
1 4 1
16 2 256
2 3 8
13 4 28561
15 0 1
17 4 83521
29 4 707281
3 1 3
10 4 10000
26 1 26
9 3 729
9 0 1
20 1 20
22 3 10648
29 3 24389
4 4 256
25 2 625
4 2 16
0 0 1
7 2 49
1 2 1
22 3 10648
26 3 17576
14 4 38416
27 0 1
27 3 19683
25 2 625
2 2 4
2 3 8
21 1 21
21 4 194481
9 4 6561
8 2 64
25 3 15625
4 2 16
20 4 160000
13 4 28561
25 0 1
26 4 456976
25 1 25
20 0 1
23 3 12167
15 1 15
13 4 28561
20 3 8000
3 0 1
14 0 1
8 0 1
15 1 15
9 1 9
29 0 1
4 3 64
21 3 9261
20 1 20
28 0 1
7 0 1
16 0 1
13 4 28561
20 4 160000
7 4 2401
19 1 19
10 4 10000
8 1 8
13 4 28561
7 2 49
18 4 104976
13 4 28561
5 0 1
24 3 13824
22 1 22
6 3 216
27 1 27
28 2 784
1 0 1
6 2 36
22 1 22
19 3 6859
11 2 121
29 1 29
14 2 196
16 3 4096
26 1 26
2 0 1
8 3 512
25 0 1
23 4 279841
5 3 125
20 0 1
20 4 160000
12 1 12
8 4 4096
24 4 331776
26 3 17576
13 1 13
19 0 1
7 1 7
22 1 22
19 3 6859
17 4 83521
3 0 1
11 4 14641
24 3 13824
12 2 144
28 0 1
3 0 1
14 2 196
23 3 12167
13 0 1
14 3 2744
1 1 1
18 3 5832
22 4 234256
4 1 4
22 0 1
21 4 194481
16 3 4096
8 1 8
8 3 512
12 0 1
19 3 6859
26 4 456976
16 3 4096
24 2 576
22 2 484
11 1 11
4 4 256
9 4 6561
12 3 1728
29 2 841
27 3 19683
5 4 625
7 4 2401
25 2 625
12 0 1
6 4 1296
4 0 1
4 3 64
12 2 144
9 3 729
24 0 1
15 4 50625
21 3 9261
27 1 27
8 4 4096
17 0 1
29 1 29
21 4 194481
16 1 16
27 3 19683
16 0 1
13 2 169
28 3 21952
0 4 0
2 2 4
6 0 1
19 3 6859
26 4 456976
6 3 216
8 3 512
8 0 1
4 4 256
6 4 1296
14 2 196
17 1 17
5 3 125
22 3 10648
8 1 8
27 1 27
27 1 27
15 2 225
16 0 1
27 1 27
7 1 7
16 3 4096
9 2 81
10 0 1
6 1 6
14 3 2744
24 3 13824
7 4 2401
22 4 234256
2 4 16
23 2 529
17 4 83521
1 1 1
10 4 10000
29 0 1
0 2 0
12 2 144
21 0 1
22 3 10648
7 4 2401
21 3 9261
24 2 576
24 4 331776
26 4 456976
14 2 196
12 2 144
0 0 1
0 4 0
12 0 1
29 4 707281
5 4 625
10 2 100
29 4 707281
26 1 26
4 1 4
0 4 0
11 2 121
8 0 1
9 4 6561
3 3 27
17 0 1
17 4 83521
2 4 16
25 3 15625
17 3 4913
29 3 24389
27 3 19683
7 1 7
1 1 1
18 2 324
1 0 1
20 2 400
3 3 27
19 3 6859
29 4 707281
10 1 10
25 4 390625
8 0 1
18 3 5832
2 2 4
22 1 22
17 3 4913
7 2 49
10 0 1
11 1 11
4 3 64
23 3 12167
22 4 234256
1 1 1
14 3 2744
15 2 225
14 2 196
15 2 225
7 0 1
13 3 2197
2 0 1
1 1 1
29 3 24389
17 3 4913
25 1 25
10 3 1000
28 2 784
5 0 1
7 1 7
3 3 27
8 2 64
20 4 160000
10 2 100
0 4 0
11 1 11
23 4 279841
12 1 12
19 3 6859
17 0 1
4 1 4
8 4 4096
25 4 390625
0 2 0
8 2 64
5 2 25
27 2 729
9 1 9
29 1 29
8 2 64
26 0 1
4 0 1
19 1 19
6 2 36
27 0 1
2 2 4
23 3 12167
17 1 17
29 2 841
18 1 18
22 0 1
29 4 707281
1 4 1
14 1 14
15 2 225
21 4 194481
3 0 1
23 3 12167
2 4 16
26 3 17576
3 2 9
20 1 20
10 2 100
6 3 216
28 0 1
10 3 1000
17 1 17
25 4 390625
1 0 1
8 4 4096
11 0 1
23 4 279841
6 2 36
16 0 1
23 1 23
7 2 49
27 3 19683
24 3 13824
5 1 5
5 3 125
21 4 194481
1 2 1
0 2 0
20 1 20
7 0 1
13 2 169
19 1 19
24 3 13824
4 1 4
5 3 125
29 4 707281
29 0 1
17 1 17
21 3 9261
19 0 1
27 1 27
27 1 27
18 0 1
16 1 16
1 3 1
6 1 6
25 0 1
0 2 0
28 2 784
18 1 18
1 3 1
9 1 9
6 4 1296
20 0 1
22 3 10648
3 0 1
0 2 0
18 3 5832
2 1 2
7 2 49
26 0 1
7 0 1
9 3 729
26 3 17576
5 4 625
26 4 456976
5 4 625
12 0 1
10 3 1000
21 4 194481
19 3 6859
3 1 3
2 0 1
22 1 22
2 1 2
29 1 29
24 0 1
1 0 1
13 3 2197
27 1 27
29 1 29
24 1 24
23 1 23
22 4 234256
16 4 65536
24 1 24
19 1 19
17 0 1
27 4 531441
21 3 9261
6 1 6
0 0 1
10 4 10000
10 0 1
6 0 1
11 4 14641
11 0 1
20 4 160000
22 2 484
17 0 1
20 0 1
0 2 0
29 4 707281
13 2 169
19 4 130321
10 0 1
22 0 1
11 3 1331
0 2 0
11 4 14641
13 1 13
16 1 16
2 3 8
26 0 1
20 2 400
2 4 16
3 3 27
22 3 10648
7 3 343
9 0 1
6 0 1
2 1 2
6 0 1
29 4 707281
17 0 1
20 1 20
5 3 125
26 1 26
8 0 1
9 1 9
11 3 1331
19 0 1
0 0 1
2 2 4
11 3 1331
26 3 17576
19 0 1
21 2 441
28 0 1
23 4 279841
15 0 1
13 4 28561
24 1 24
7 1 7
21 1 21
25 3 15625
25 0 1
21 2 441
12 4 20736
3 3 27
7 3 343
4 1 4
4 2 16
7 2 49
4 1 4
15 1 15
25 2 625
17 0 1
21 0 1
8 1 8
10 3 1000
12 1 12
14 1 14
24 4 331776
1 0 1
12 0 1
25 0 1
28 1 28
9 0 1
29 3 24389
21 0 1
27 0 1
10 3 1000
18 4 104976
11 3 1331
19 4 130321
10 2 100
17 1 17
23 3 12167
3 2 9
11 2 121
3 2 9
15 4 50625
