x result
83 0.968364
35 -0.428183
49 -0.953753
90 0.893997
40 0.745113
11 -0.99999
82 0.313229
67 -0.85552
22 -0.00885131
56 -0.521551
73 -0.676772
37 -0.643538
70 0.773891
80 -0.993889
70 0.773891
25 -0.132352
36 -0.991779
13 0.420167
82 0.313229
34 0.529083
87 -0.821818
88 0.0353983
54 -0.558789
76 0.566108
26 0.762558
95 0.683262
67 -0.85552
17 -0.961397
1 0.841471
65 0.826829
40 0.745113
97 0.379608
9 0.412118
97 0.379608
6 -0.279415
28 0.270906
3 0.14112
8 0.989358
96 0.983588
46 0.901788
79 -0.444113
41 -0.158623
34 0.529083
87 -0.821818
27 0.956376
32 0.551427
75 -0.387782
58 0.992873
35 -0.428183
43 -0.831775
76 0.566108
13 0.420167
4 -0.756802
69 -0.114785
24 -0.905578
90 0.893997
90 0.893997
86 -0.923458
64 0.920026
4 -0.756802
28 0.270906
68 -0.897928
10 -0.544021
30 -0.988032
36 -0.991779
22 -0.00885131
82 0.313229
62 -0.739181
52 0.986628
68 -0.897928
81 -0.629888
60 -0.304811
99 -0.999207
13 0.420167
26 0.762558
90 0.893997
36 -0.991779
79 -0.444113
48 -0.768255
36 -0.991779
6 -0.279415
21 0.836656
21 0.836656
40 0.745113
27 0.956376
20 0.912945
96 0.983588
92 -0.779466
25 -0.132352
40 0.745113
98 -0.573382
9 0.412118
32 0.551427
79 -0.444113
50 -0.262375
79 -0.444113
21 0.836656
61 -0.966118
2 0.909297
21 0.836656
89 0.860069
98 -0.573382
48 -0.768255
48 -0.768255
46 0.901788
46 0.901788
90 0.893997
97 0.379608
25 -0.132352
88 0.0353983
60 -0.304811
4 -0.756802
48 -0.768255
97 0.379608
2 0.909297
81 -0.629888
51 0.670229
92 -0.779466
29 -0.663634
29 -0.663634
0 0
89 0.860069
67 -0.85552
43 -0.831775
82 0.313229
26 0.762558
60 -0.304811
81 -0.629888
96 0.983588
90 0.893997
14 0.990607
12 -0.536573
26 0.762558
78 0.513978
47 0.123573
31 -0.404038
12 -0.536573
12 -0.536573
10 -0.544021
55 -0.999755
87 -0.821818
70 0.773891
6 -0.279415
5 -0.958924
45 0.850904
73 -0.676772
7 0.656987
71 0.951055
18 -0.750987
74 -0.985146
93 -0.948282
17 -0.961397
22 -0.00885131
31 -0.404038
92 -0.779466
21 0.836656
47 0.123573
37 -0.643538
98 -0.573382
16 -0.287903
96 0.983588
18 -0.750987
12 -0.536573
4 -0.756802
59 0.636738
11 -0.99999
60 -0.304811
63 0.167356
5 -0.958924
55 -0.999755
93 -0.948282
82 0.313229
74 -0.985146
53 0.395925
13 0.420167
75 -0.387782
32 0.551427
35 -0.428183
43 -0.831775
91 0.105988
36 -0.991779
58 0.992873
61 -0.966118
89 0.860069
50 -0.262375
85 -0.176076
49 -0.953753
77 0.99952
60 -0.304811
18 -0.750987
96 0.983588
84 0.73319
40 0.745113
30 -0.988032
30 -0.988032
22 -0.00885131
35 -0.428183
43 -0.831775
78 0.513978
83 0.968364
24 -0.905578
35 -0.428183
47 0.123573
18 -0.750987
33 0.999912
6 -0.279415
8 0.989358
76 0.566108
71 0.951055
10 -0.544021
39 0.963795
53 0.395925
89 0.860069
23 -0.84622
22 -0.00885131
79 -0.444113
31 -0.404038
81 -0.629888
33 0.999912
15 0.650288
22 -0.00885131
32 0.551427
15 0.650288
99 -0.999207
76 0.566108
87 -0.821818
66 -0.0265512
11 -0.99999
30 -0.988032
76 0.566108
25 -0.132352
90 0.893997
43 -0.831775
21 0.836656
25 -0.132352
53 0.395925
50 -0.262375
26 0.762558
49 -0.953753
98 -0.573382
77 0.99952
52 0.986628
99 -0.999207
17 -0.961397
98 -0.573382
5 -0.958924
28 0.270906
97 0.379608
45 0.850904
83 0.968364
21 0.836656
34 0.529083
57 0.436165
72 0.253823
50 -0.262375
17 -0.961397
6 -0.279415
63 0.167356
37 -0.643538
80 -0.993889
41 -0.158623
11 -0.99999
83 0.968364
6 -0.279415
89 0.860069
75 -0.387782
38 0.296369
56 -0.521551
14 0.990607
86 -0.923458
35 -0.428183
90 0.893997
73 -0.676772
95 0.683262
98 -0.573382
93 -0.948282
33 0.999912
58 0.992873
81 -0.629888
50 -0.262375
64 0.920026
19 0.149877
38 0.296369
19 0.149877
56 -0.521551
11 -0.99999
29 -0.663634
2 0.909297
16 -0.287903
72 0.253823
25 -0.132352
18 -0.750987
74 -0.985146
48 -0.768255
59 0.636738
24 -0.905578
2 0.909297
83 0.968364
23 -0.84622
31 -0.404038
90 0.893997
70 0.773891
71 0.951055
99 -0.999207
