x result
41 6.40312
67 8.18535
34 5.83095
0 0
69 8.30662
24 4.89898
78 8.83176
58 7.61577
62 7.87401
64 8
5 2.23607
45 6.7082
81 9
27 5.19615
61 7.81025
91 9.53939
95 9.74679
42 6.48074
27 5.19615
36 6
91 9.53939
4 2
2 1.41421
53 7.28011
92 9.59166
82 9.05539
21 4.58258
16 4
18 4.24264
95 9.74679
47 6.85565
26 5.09902
71 8.42615
38 6.16441
69 8.30662
12 3.4641
67 8.18535
99 9.94987
35 5.91608
94 9.69536
3 1.73205
11 3.31662
22 4.69042
33 5.74456
73 8.544
64 8
41 6.40312
11 3.31662
53 7.28011
68 8.24621
47 6.85565
44 6.63325
62 7.87401
57 7.54983
37 6.08276
59 7.68115
23 4.79583
41 6.40312
29 5.38516
78 8.83176
16 4
35 5.91608
90 9.48683
42 6.48074
88 9.38083
6 2.44949
40 6.32456
42 6.48074
64 8
48 6.9282
46 6.78233
5 2.23607
90 9.48683
29 5.38516
70 8.3666
50 7.07107
6 2.44949
1 1
93 9.64365
48 6.9282
29 5.38516
23 4.79583
84 9.16515
54 7.34847
56 7.48331
40 6.32456
66 8.12404
76 8.7178
31 5.56776
8 2.82843
44 6.63325
39 6.245
26 5.09902
23 4.79583
37 6.08276
38 6.16441
18 4.24264
82 9.05539
29 5.38516
41 6.40312
33 5.74456
15 3.87298
39 6.245
58 7.61577
4 2
30 5.47723
77 8.77496
6 2.44949
73 8.544
86 9.27362
21 4.58258
45 6.7082
24 4.89898
72 8.48528
70 8.3666
29 5.38516
77 8.77496
73 8.544
97 9.84886
12 3.4641
86 9.27362
90 9.48683
61 7.81025
36 6
55 7.4162
67 8.18535
55 7.4162
74 8.60233
31 5.56776
52 7.2111
50 7.07107
50 7.07107
41 6.40312
24 4.89898
66 8.12404
30 5.47723
7 2.64575
91 9.53939
7 2.64575
37 6.08276
57 7.54983
87 9.32738
53 7.28011
83 9.11043
45 6.7082
9 3
9 3
58 7.61577
21 4.58258
88 9.38083
22 4.69042
46 6.78233
6 2.44949
30 5.47723
13 3.60555
68 8.24621
0 0
91 9.53939
62 7.87401
55 7.4162
10 3.16228
59 7.68115
24 4.89898
37 6.08276
48 6.9282
83 9.11043
95 9.74679
41 6.40312
2 1.41421
50 7.07107
91 9.53939
36 6
74 8.60233
20 4.47214
96 9.79796
21 4.58258
48 6.9282
99 9.94987
68 8.24621
84 9.16515
81 9
34 5.83095
53 7.28011
99 9.94987
18 4.24264
38 6.16441
0 0
88 9.38083
27 5.19615
67 8.18535
28 5.2915
93 9.64365
48 6.9282
83 9.11043
7 2.64575
21 4.58258
10 3.16228
17 4.12311
13 3.60555
14 3.74166
9 3
16 4
35 5.91608
51 7.14143
0 0
49 7
19 4.3589
56 7.48331
98 9.89949
3 1.73205
24 4.89898
8 2.82843
44 6.63325
9 3
89 9.43398
2 1.41421
95 9.74679
85 9.21954
93 9.64365
43 6.55744
23 4.79583
87 9.32738
14 3.74166
3 1.73205
48 6.9282
0 0
58 7.61577
18 4.24264
80 8.94427
96 9.79796
98 9.89949
81 9
89 9.43398
98 9.89949
9 3
57 7.54983
72 8.48528
22 4.69042
38 6.16441
92 9.59166
38 6.16441
79 8.88819
90 9.48683
57 7.54983
58 7.61577
91 9.53939
15 3.87298
88 9.38083
56 7.48331
11 3.31662
2 1.41421
34 5.83095
72 8.48528
55 7.4162
28 5.2915
46 6.78233
62 7.87401
86 9.27362
75 8.66025
33 5.74456
69 8.30662
42 6.48074
44 6.63325
16 4
81 9
98 9.89949
22 4.69042
51 7.14143
21 4.58258
99 9.94987
57 7.54983
76 8.7178
92 9.59166
89 9.43398
75 8.66025
12 3.4641
0 0
10 3.16228
3 1.73205
69 8.30662
61 7.81025
88 9.38083
1 1
89 9.43398
55 7.4162
23 4.79583
2 1.41421
85 9.21954
82 9.05539
85 9.21954
88 9.38083
26 5.09902
17 4.12311
57 7.54983
32 5.65685
32 5.65685
69 8.30662
54 7.34847
21 4.58258
89 9.43398
76 8.7178
29 5.38516
68 8.24621
92 9.59166
25 5
55 7.4162
34 5.83095
49 7
41 6.40312
12 3.4641
45 6.7082
60 7.74597
18 4.24264
53 7.28011
39 6.245
23 4.79583
79 8.88819
96 9.79796
87 9.32738
29 5.38516
49 7
37 6.08276
66 8.12404
49 7
93 9.64365
95 9.74679
97 9.84886
16 4
86 9.27362
5 2.23607
88 9.38083
82 9.05539
55 7.4162
34 5.83095
14 3.74166
1 1
16 4
71 8.42615
86 9.27362
63 7.93725
13 3.60555
55 7.4162
85 9.21954
53 7.28011
12 3.4641
8 2.82843
32 5.65685
45 6.7082
13 3.60555
56 7.48331
21 4.58258
58 7.61577
46 6.78233
82 9.05539
81 9
44 6.63325
96 9.79796
22 4.69042
29 5.38516
61 7.81025
35 5.91608
50 7.07107
73 8.544
66 8.12404
44 6.63325
59 7.68115
92 9.59166
39 6.245
53 7.28011
24 4.89898
54 7.34847
10 3.16228
45 6.7082
49 7
86 9.27362
13 3.60555
74 8.60233
22 4.69042
68 8.24621
18 4.24264
87 9.32738
5 2.23607
58 7.61577
91 9.53939
2 1.41421
25 5
77 8.77496
14 3.74166
14 3.74166
24 4.89898
34 5.83095
74 8.60233
72 8.48528
59 7.68115
33 5.74456
70 8.3666
87 9.32738
97 9.84886
18 4.24264
77 8.77496
73 8.544
70 8.3666
63 7.93725
68 8.24621
92 9.59166
85 9.21954
2 1.41421
80 8.94427
13 3.60555
27 5.19615
2 1.41421
99 9.94987
27 5.19615
25 5
43 6.55744
24 4.89898
23 4.79583
72 8.48528
61 7.81025
81 9
3 1.73205
32 5.65685
5 2.23607
93 9.64365
25 5
31 5.56776
92 9.59166
42 6.48074
22 4.69042
86 9.27362
64 8
0 0
87 9.32738
60 7.74597
13 3.60555
74 8.60233
70 8.3666
70 8.3666
35 5.91608
33 5.74456
11 3.31662
60 7.74597
96 9.79796
67 8.18535
85 9.21954
50 7.07107
40 6.32456
94 9.69536
95 9.74679
24 4.89898
19 4.3589
25 5
76 8.7178
94 9.69536
58 7.61577
2 1.41421
71 8.42615
66 8.12404
78 8.83176
93 9.64365
51 7.14143
84 9.16515
18 4.24264
64 8
19 4.3589
52 7.2111
0 0
87 9.32738
60 7.74597
26 5.09902
10 3.16228
57 7.54983
70 8.3666
15 3.87298
76 8.7178
27 5.19615
43 6.55744
58 7.61577
64 8
9 3
82 9.05539
86 9.27362
65 8.06226
87 9.32738
77 8.77496
74 8.60233
25 5
27 5.19615
29 5.38516
28 5.2915
